match_url,teamName,tableType,player,kd,plus_minus,adr,kast,rating
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Garidmagnai 'bLitz' ByambasurenbLitz,13-18,-5,65.6,62.5%,0.83
https://www.hltv.org/matches/2380124/liquid-vs-the-mongolz-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Sodbayar 'Techno' MunkhboldTechno,4-19,-15,35.8,54.2%,0.44
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Munkhbold 'Senzu' AzbayarSenzu,51-39,+12,93.7,76.2%,1.33
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Garidmagnai 'bLitz' ByambasurenbLitz,50-40,+10,91.6,66.7%,1.20
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Usukhbayar '910' Banzragch910,45-39,+6,71.1,74.6%,1.11
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Sodbayar 'Techno' MunkhboldTechno,33-39,-6,56.2,71.4%,0.94
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table totalstats,Ayush 'mzinho' Batboldmzinho,41-42,-1,64.1,66.7%,0.93
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Munkhbold 'Senzu' AzbayarSenzu,35-23,+12,98.2,76.9%,1.38
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Sodbayar 'Techno' MunkhboldTechno,26-20,+6,66.7,79.5%,1.11
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Garidmagnai 'bLitz' ByambasurenbLitz,25-25,0,81.1,66.7%,0.99
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Usukhbayar '910' Banzragch910,24-24,0,68.3,74.4%,0.98
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table ctstats hidden,Ayush 'mzinho' Batboldmzinho,25-25,0,62.9,66.7%,0.93
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Garidmagnai 'bLitz' ByambasurenbLitz,25-15,+10,108.6,66.7%,1.54
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Usukhbayar '910' Banzragch910,21-15,+6,75.5,75.0%,1.32
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Munkhbold 'Senzu' AzbayarSenzu,16-16,0,86.3,75.0%,1.24
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Ayush 'mzinho' Batboldmzinho,16-17,-1,66.0,66.7%,0.94
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,The MongolZ,table tstats hidden,Sodbayar 'Techno' MunkhboldTechno,7-19,-12,39.2,58.3%,0.65
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table totalstats,Ihor 'w0nderful' Zhdanovw0nderful,40-37,+3,78.7,65.1%,1.09
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table totalstats,Mihai 'iM' IvaniM,47-48,-1,82.9,68.3%,1.09
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table totalstats,Valeriy 'b1t' Vakhovskiyb1t,40-44,-4,66.4,69.8%,0.92
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table totalstats,Justinas 'jL' LekaviciusjL,37-48,-11,69.7,71.4%,0.88
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table totalstats,Aleksi 'Aleksib' VirolainenAleksib,33-43,-10,59.8,63.5%,0.81
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table ctstats hidden,Mihai 'iM' IvaniM,21-18,+3,90.5,70.8%,1.22
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table ctstats hidden,Aleksi 'Aleksib' VirolainenAleksib,20-16,+4,78.8,66.7%,1.08
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table ctstats hidden,Ihor 'w0nderful' Zhdanovw0nderful,13-15,-2,71.7,62.5%,0.90
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table ctstats hidden,Justinas 'jL' LekaviciusjL,14-19,-5,79.7,70.8%,0.82
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table ctstats hidden,Valeriy 'b1t' Vakhovskiyb1t,12-17,-5,58.6,66.7%,0.67
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table tstats hidden,Ihor 'w0nderful' Zhdanovw0nderful,27-22,+5,83.0,66.7%,1.21
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table tstats hidden,Valeriy 'b1t' Vakhovskiyb1t,28-27,+1,71.2,71.8%,1.08
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table tstats hidden,Mihai 'iM' IvaniM,26-30,-4,78.2,66.7%,1.01
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table tstats hidden,Justinas 'jL' LekaviciusjL,23-29,-6,63.5,71.8%,0.92
https://www.hltv.org/matches/2380119/the-mongolz-vs-natus-vincere-blast-open-lisbon-2025,Natus Vincere,table tstats hidden,Aleksi 'Aleksib' VirolainenAleksib,13-27,-14,48.1,61.5%,0.63
